Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
127,tt2366450,2014-01-15,2014-01-15,,Stories We Tell,http://www.imdb.com/title/tt2366450/,movie,7.6,108,2012,Documentary,10453,2012-08-30,Sarah Polley
128,tt2085910,2014-01-15,2014-01-15,,Room 237,http://www.imdb.com/title/tt2085910/,movie,6.2,102,2012,Documentary,18404,2012-01-23,Rodney Ascher
129,tt2130321,2014-01-15,2014-01-15,,West of Memphis,http://www.imdb.com/title/tt2130321/,movie,7.9,147,2012,"Documentary, Crime",8492,2012-01-21,Amy Berg
130,tt1277936,2014-01-15,2014-01-15,,Cropsey,http://www.imdb.com/title/tt1277936/,movie,6.4,84,2009,"Documentary, Crime, Horror, Mystery",6418,2009-04-25,"Barbara Brancaccio, Joshua Zeman"
131,tt1151309,2014-01-16,2014-01-16,,Bigger Stronger Faster*,http://www.imdb.com/title/tt1151309/,movie,7.6,105,2008,"Documentary, Sport",12403,2008-01-19,Chris Bell
132,tt2492916,2014-01-17,2014-01-17,,Muscle Shoals,http://www.imdb.com/title/tt2492916/,movie,7.7,111,2013,"Documentary, Biography, History, Music",3042,2013-01-26,Greg 'Freddy' Camalier
133,tt2370248,2014-01-18,2014-01-18,,Short Term 12,http://www.imdb.com/title/tt2370248/,movie,8.0,96,2013,Drama,65709,2013-03-10,Destin Daniel Cretton
134,tt2296697,2014-01-18,2014-01-18,,Concussion,http://www.imdb.com/title/tt2296697/,movie,5.7,96,2013,Drama,3389,2013-01-19,Stacie Passon
135,tt2024544,2014-01-18,2014-01-18,,12 Years a Slave,http://www.imdb.com/title/tt2024544/,movie,8.1,134,2013,"Biography, Drama, History",514622,2013-08-30,Steve McQueen
136,tt1457767,2014-01-19,2014-01-19,,The Conjuring,http://www.imdb.com/title/tt1457767/,movie,7.5,112,2013,"Horror, Mystery, Thriller",349422,2013-06-08,James Wan
137,tt2088714,2014-01-19,2014-01-19,,Call Me Kuchu,http://www.imdb.com/title/tt2088714/,movie,7.6,87,2012,"Documentary, Drama",680,2012-02-11,"Malika Zouhali-Worrall, Katherine Fairfax Wright"
138,tt1934269,2014-01-20,2014-01-20,,Yossi,http://www.imdb.com/title/tt1934269/,movie,7.0,84,2012,"Drama, Romance",2435,2012-04-19,Eytan Fox
139,tt3479540,2014-01-24,2014-01-24,,Loputon Gehennan liekki,http://www.imdb.com/title/tt3479540/,movie,6.6,51,2011,"Documentary, Music",152,2011-10-27,Sami Kettunen
140,tt2521668,2014-01-26,2014-01-26,,Les Revenants,http://www.imdb.com/title/tt2521668/,tvSeries,8.2,52,2012,"Drama, Fantasy, Horror, Mystery",17427,2012-11-26,
141,tt2910328,2014-01-30,2014-01-30,,No Fire Zone: The Killing Fields of Sri Lanka,http://www.imdb.com/title/tt2910328/,movie,6.6,49,2013,"Documentary, Crime",304,2013-03-23,Callum Macrae
142,tt1682181,2014-02-07,2014-02-07,,Bully,http://www.imdb.com/title/tt1682181/,movie,7.4,98,2011,Documentary,9351,2011-04-23,Lee Hirsch
143,tt2306745,2014-02-07,2014-02-07,,Sound City,http://www.imdb.com/title/tt2306745/,movie,7.8,107,2013,"Documentary, Music",10822,2013-01-18,Dave Grohl
144,tt0993846,2014-02-09,2014-02-09,,The Wolf of Wall Street,http://www.imdb.com/title/tt0993846/,movie,8.2,180,2013,"Biography, Comedy, Crime, Drama",914484,2013-12-17,Martin Scorsese
145,tt1937390,2014-02-10,2014-02-10,,Nymphomaniac: Vol. I,http://www.imdb.com/title/tt1937390/,movie,7.0,117,2013,Drama,95762,2013-12-25,Lars von Trier
146,tt2382009,2014-02-10,2014-02-10,,Nymphomaniac: Vol. II,http://www.imdb.com/title/tt2382009/,movie,6.7,123,2013,Drama,69938,2013-12-25,Lars von Trier
147,tt0870984,2014-02-11,2014-02-11,,Antichrist,http://www.imdb.com/title/tt0870984/,movie,6.6,108,2009,"Drama, Horror",97804,2009-05-18,Lars von Trier
148,tt0072235,2014-02-15,2014-02-15,,Sweet Movie,http://www.imdb.com/title/tt0072235/,movie,6.3,98,1974,"Comedy, Drama, Mystery",4487,1974-05-01,Dusan Makavejev
149,tt1800241,2014-03-08,2014-03-08,,American Hustle,http://www.imdb.com/title/tt1800241/,movie,7.3,138,2013,"Crime, Drama",390879,2013-12-12,David O. Russell
150,tt2355540,2014-03-09,2014-03-09,,Cutie and the Boxer,http://www.imdb.com/title/tt2355540/,movie,7.2,82,2013,"Documentary, Biography",4107,2013-01-19,Zachary Heinzerling
151,tt0125439,2014-03-13,2014-03-13,,Notting Hill,http://www.imdb.com/title/tt0125439/,movie,7.1,124,1999,"Comedy, Drama, Romance",224142,1999-05-13,Roger Michell
152,tt2862392,2014-03-28,2014-03-28,,Näin unta elämästä,http://www.imdb.com/title/tt2862392/,movie,7.2,76,2014,Documentary,86,2014-03-28,"Jukka Kärkkäinen, Sini Liimatainen"
153,tt2243246,2014-04-04,2014-04-04,,Alcan Highway,http://www.imdb.com/title/tt2243246/,movie,6.9,75,2013,"Documentary, Drama",185,2013-03-07,Aleksi Salmenperä
154,tt0137523,2014-04-19,2014-04-19,,Fight Club,http://www.imdb.com/title/tt0137523/,movie,8.8,139,1999,Drama,1517120,1999-09-10,David Fincher
155,tt2727008,2014-04-24,2014-04-24,,Rites of Blood,http://www.imdb.com/title/tt2727008/,video,4.0,98,2004,Horror,15,2004-09-03,Sami Haavisto
156,tt0903747,2014-05-17,2014-05-17,,Breaking Bad,http://www.imdb.com/title/tt0903747/,tvSeries,9.5,49,2008,"Crime, Drama, Thriller",1046982,2008-01-20,
157,tt1545103,2014-05-18,2014-05-18,,Rush: Beyond the Lighted Stage,http://www.imdb.com/title/tt1545103/,movie,8.5,107,2010,"Documentary, Biography, Music",3338,2010-04-24,"Sam Dunn, Scot McFadyen"
158,tt2358891,2014-06-15,2014-06-15,,La grande bellezza,http://www.imdb.com/title/tt2358891/,movie,7.8,141,2013,Drama,64922,2013-05-21,Paolo Sorrentino
159,tt1014799,2014-07-06,2014-07-06,,Holy Wars,http://www.imdb.com/title/tt1014799/,movie,7.4,84,2010,Documentary,149,2010-01-01,Stephen Marshall
160,tt0060675,2014-07-16,2014-07-16,,Masculin féminin,http://www.imdb.com/title/tt0060675/,movie,7.6,110,1966,"Drama, Romance",9776,1966-03-22,Jean-Luc Godard
161,tt0165798,2014-07-22,2014-07-22,,Ghost Dog: The Way of the Samurai,http://www.imdb.com/title/tt0165798/,movie,7.5,116,1999,"Action, Crime, Drama, Thriller",75552,1999-05-19,Jim Jarmusch
162,tt2581244,2014-08-05,2014-08-05,,Life After Beth,http://www.imdb.com/title/tt2581244/,movie,5.6,89,2014,"Comedy, Horror, Romance",15867,2014-01-19,Jeff Baena
163,tt2567712,2014-08-06,2014-08-06,,Starred Up,http://www.imdb.com/title/tt2567712/,movie,7.4,106,2013,"Crime, Drama",36325,2013-08-30,David Mackenzie
164,tt2425486,2014-08-08,2014-08-08,,Gloria,http://www.imdb.com/title/tt2425486/,movie,6.7,110,2013,"Comedy, Drama, Romance",6730,2013-02-10,Sebastián Lelio
165,tt2504022,2014-08-10,2014-08-10,,Narco Cultura,http://www.imdb.com/title/tt2504022/,movie,7.2,103,2013,Documentary,2212,2013-01-21,Shaul Schwarz
166,tt3326366,2014-08-11,2014-08-11,,Whitey: United States of America v. James J. Bulger,http://www.imdb.com/title/tt3326366/,movie,6.8,107,2014,"Documentary, Biography, Crime",2594,2014-01-18,Joe Berlinger
167,tt0085518,2014-08-11,2014-08-11,,Faces of Death II,http://www.imdb.com/title/tt0085518/,movie,3.3,85,1981,"Documentary, Horror",1489,1981-05-01,John Alan Schwartz
168,tt0150490,2014-08-12,2014-08-12,,Executions,http://www.imdb.com/title/tt0150490/,video,6.5,56,1995,Documentary,402,1995-06-01,"David Monaghan, David Herman, Arun Kumar"
169,tt2396566,2014-08-19,2014-08-19,,Twenty Feet from Stardom,http://www.imdb.com/title/tt2396566/,movie,7.4,91,2013,"Documentary, Music",10523,2013-01-17,Morgan Neville
170,tt1800266,2014-08-19,2014-08-19,,Brooklyn Castle,http://www.imdb.com/title/tt1800266/,movie,7.3,101,2012,Documentary,842,2012-03-11,Katie Dellamaggiore
171,tt2421230,2014-08-22,2014-08-22,,Aikuisten poika,http://www.imdb.com/title/tt2421230/,movie,5.7,94,2014,"Comedy, Drama",125,2014-08-29,Juha Lehtola
172,tt3074732,2014-08-23,2014-08-23,,Hross í oss,http://www.imdb.com/title/tt3074732/,movie,6.9,81,2013,"Comedy, Drama, Romance",2433,2013-08-28,Benedikt Erlingsson
173,tt2245223,2014-08-26,2014-08-26,,The Source Family,http://www.imdb.com/title/tt2245223/,movie,7.0,98,2012,"Documentary, Music",813,2012-03-07,"Jodi Wille, Maria Demopoulos"
174,tt2290151,2014-08-30,2014-08-30,,Big Star: Nothing Can Hurt Me,http://www.imdb.com/title/tt2290151/,movie,7.1,113,2012,"Documentary, Music",1075,2012-03-15,"Olivia Mori, Drew DeNicola"
175,tt3199456,2014-09-10,2014-09-10,,The Return to Homs,http://www.imdb.com/title/tt3199456/,movie,7.7,94,2013,"Documentary, Biography, History, News, War",887,2013-11-20,Talal Derki
176,tt2374902,2014-09-20,2014-09-20,,Málmhaus,http://www.imdb.com/title/tt2374902/,movie,7.1,97,2013,Drama,4540,2013-09-07,Ragnar Bragason
177,tt1815717,2014-09-21,2014-09-21,,Gerontophilia,http://www.imdb.com/title/tt1815717/,movie,6.1,82,2013,"Comedy, Romance",1894,2013-08-28,Bruce La Bruce
178,tt3123178,2014-09-22,2014-09-22,,De Umoralske,http://www.imdb.com/title/tt3123178/,movie,5.1,87,2013,Comedy,25,2013-09-09,Lars Daniel Krutzkoff Jacobsen
179,tt2798170,2014-09-24,2014-09-24,,Jeg er din,http://www.imdb.com/title/tt2798170/,movie,6.2,100,2013,Drama,556,2013-08-16,Iram Haq
180,tt2363178,2014-09-24,2014-09-24,,Hotell,http://www.imdb.com/title/tt2363178/,movie,6.4,97,2013,Drama,1845,2013-09-06,Lisa Langseth
181,tt0445336,2014-09-25,2014-09-25,,Du levande,http://www.imdb.com/title/tt0445336/,movie,7.5,95,2007,"Comedy, Drama, Music",11843,2007-05-24,Roy Andersson
182,tt3362914,2014-09-26,2014-09-26,,We Come as Friends,http://www.imdb.com/title/tt3362914/,movie,7.5,110,2014,Documentary,548,2014-01-18,Hubert Sauper
183,tt3660370,2014-09-27,2014-09-27,,Party Girl,http://www.imdb.com/title/tt3660370/,movie,6.4,96,2014,Drama,929,2014-05-15,"Claire Burger, Marie Amachoukeli-Barsacq, Samuel Theis"
184,tt3576084,2014-09-27,2014-09-27,,Efes beyahasei enosh,http://www.imdb.com/title/tt3576084/,movie,7.4,97,2014,"Comedy, Drama",3310,2014-04-17,Talya Lavie
185,tt2717558,2014-09-28,2014-09-28,,On the Job,http://www.imdb.com/title/tt2717558/,movie,7.0,118,2013,"Action, Crime, Drama, Thriller",2134,2013-05-24,Erik Matti
186,tt2712884,2014-10-08,2014-10-08,,Ulvilan murhamysteeri,http://www.imdb.com/title/tt2712884/,movie,6.7,83,2014,Documentary,185,2014-06-13,Pekka Lehto
187,tt2712878,2014-10-09,2014-10-09,,Monsterimies,http://www.imdb.com/title/tt2712878/,movie,6.4,85,2014,"Documentary, Biography, Drama, Horror, Music",200,2014-09-24,Antti Haase
188,tt2402091,2014-11-09,2014-11-09,,Återträffen,http://www.imdb.com/title/tt2402091/,movie,6.9,90,2013,Drama,4079,2013-09-03,Anna Odell
189,tt3552326,2014-11-14,2014-11-14,,Brooklynin pojat,http://www.imdb.com/title/tt3552326/,movie,6.7,69,2014,"Documentary, Drama, Family",14,2014-09-05,Inderjit Kaur Khalsa
190,tt2048877,2014-11-15,2014-11-15,,The Ambassador,http://www.imdb.com/title/tt2048877/,movie,7.3,93,2011,Documentary,3392,2011-10-05,Mads Brügger
191,tt1179947,2014-11-16,2014-11-16,,American: The Bill Hicks Story,http://www.imdb.com/title/tt1179947/,movie,7.8,102,2009,"Documentary, Animation, Biography, Comedy",4433,2009-10-23,"Matt Harlock, Paul Thomas"
192,tt0887912,2014-11-16,2014-11-16,,The Hurt Locker,http://www.imdb.com/title/tt0887912/,movie,7.6,131,2008,"Drama, History, Thriller, War",364030,2008-09-04,Kathryn Bigelow
193,tt0062165,2014-11-21,2014-11-21,,Pähkähullu Suomi,http://www.imdb.com/title/tt0062165/,movie,6.6,84,1967,Comedy,351,1967-08-25,Jukka Virtanen
194,tt2942522,2014-11-22,2014-11-22,,Moebiuseu,http://www.imdb.com/title/tt2942522/,movie,6.5,89,2013,"Drama, Horror",3785,2013-09-03,Ki-duk Kim
195,tt1790885,2014-11-25,2014-11-25,,Zero Dark Thirty,http://www.imdb.com/title/tt1790885/,movie,7.4,157,2012,"Drama, Thriller",234045,2012-12-19,Kathryn Bigelow
196,tt2737050,2014-11-26,2014-11-26,,"Deux jours, une nuit",http://www.imdb.com/title/tt2737050/,movie,7.4,95,2014,Drama,37880,2014-05-20,"Luc Dardenne, Jean-Pierre Dardenne"
197,tt0069191,2014-11-27,2014-11-27,,Roma,http://www.imdb.com/title/tt0069191/,movie,7.4,120,1972,"Comedy, Drama",9514,1972-03-09,Federico Fellini
198,tt0070860,2014-11-28,2014-11-28,,Uuno Turhapuro,http://www.imdb.com/title/tt0070860/,movie,6.1,87,1973,Comedy,816,1973-08-24,Ere Kokkonen
199,tt0134854,2014-11-29,2014-11-29,,Noin 7 veljestä,http://www.imdb.com/title/tt0134854/,movie,6.6,93,1968,Comedy,464,1968-08-23,Jukka Virtanen
200,tt0073581,2014-12-05,2014-12-05,,Professori Uuno D.G. Turhapuro,http://www.imdb.com/title/tt0073581/,movie,5.9,86,1975,Comedy,567,1975-08-29,Ere Kokkonen
201,tt1951261,2014-12-20,2014-12-20,,The Hangover Part III,http://www.imdb.com/title/tt1951261/,movie,5.9,100,2013,"Comedy, Crime",248853,2013-05-20,Todd Phillips
202,tt1523483,2014-12-27,2014-12-27,,Kaboom,http://www.imdb.com/title/tt1523483/,movie,5.7,86,2010,"Comedy, Mystery, Romance, Sci-Fi, Thriller",11206,2010-05-15,Gregg Araki
203,tt1327820,2014-12-28,2014-12-28,,Broderskab,http://www.imdb.com/title/tt1327820/,movie,6.9,97,2009,"Drama, Romance",2789,2009-10-21,Nicolo Donato
204,tt2788710,2014-12-28,2014-12-28,,The Interview,http://www.imdb.com/title/tt2788710/,movie,6.6,112,2014,Comedy,269877,2014-12-11,"Evan Goldberg, Seth Rogen"
205,tt0059037,2014-12-28,2014-12-28,,The Cincinnati Kid,http://www.imdb.com/title/tt0059037/,movie,7.3,102,1965,Drama,12766,1965-10-15,Norman Jewison
206,tt1116184,2015-01-01,2015-01-01,,Jackass 3D,http://www.imdb.com/title/tt1116184/,movie,7.0,95,2010,"Documentary, Action, Comedy",50696,2010-10-11,Jeff Tremaine
207,tt3506224,2015-01-01,2015-01-01,,Presidentintekijät,http://www.imdb.com/title/tt3506224/,movie,5.7,79,2014,Documentary,123,2014-03-06,Tuukka Temonen
208,tt1973692,2015-01-03,2015-01-03,,Rita,http://www.imdb.com/title/tt1973692/,tvSeries,8.1,40,2012,"Comedy, Drama",3455,2012-02-09,
209,tt2356777,2015-01-10,2015-01-10,,True Detective,http://www.imdb.com/title/tt2356777/,tvSeries,9.0,55,2014,"Crime, Drama, Mystery, Thriller",383000,2014-01-12,
210,tt3169706,2015-01-15,2015-01-15,,Pride,http://www.imdb.com/title/tt3169706/,movie,7.8,119,2014,"Biography, Comedy, Drama, History, Romance",42076,2014-05-23,Matthew Warchus
211,tt2582802,2015-01-24,2015-01-24,,Whiplash,http://www.imdb.com/title/tt2582802/,movie,8.5,107,2014,"Drama, Music",519063,2014-01-16,Damien Chazelle
212,tt3704008,2015-02-01,2015-02-01,,Of Men and War,http://www.imdb.com/title/tt3704008/,movie,6.8,142,2014,"Documentary, History, War",124,2014-05-21,Laurent Bécue-Renard
213,tt1809398,2015-02-15,2015-02-15,,Unbroken,http://www.imdb.com/title/tt1809398/,movie,7.2,137,2014,"Biography, Drama, Sport, War",119755,2014-11-17,Angelina Jolie
214,tt2121382,2015-02-16,2015-02-16,,Turist,http://www.imdb.com/title/tt2121382/,movie,7.3,120,2014,"Comedy, Drama",35776,2014-05-18,Ruben Östlund
215,tt2718492,2015-02-19,2015-02-19,,Ida,http://www.imdb.com/title/tt2718492/,movie,7.4,82,2013,Drama,40957,2013-08-30,Pawel Pawlikowski
216,tt2084970,2015-02-21,2015-02-21,,The Imitation Game,http://www.imdb.com/title/tt2084970/,movie,8.0,114,2014,"Biography, Drama, History, Thriller, War",558632,2014-08-29,Morten Tyldum
217,tt2179136,2015-02-22,2015-02-22,,American Sniper,http://www.imdb.com/title/tt2179136/,movie,7.3,133,2014,"Action, Biography, Drama, History, Thriller, War",368882,2014-11-11,Clint Eastwood
218,tt4044364,2015-02-22,2015-02-22,,Citizenfour,http://www.imdb.com/title/tt4044364/,movie,8.1,114,2014,"Documentary, Biography",44521,2014-10-10,Laura Poitras
219,tt2267998,2015-02-22,2015-02-22,,Gone Girl,http://www.imdb.com/title/tt2267998/,movie,8.1,149,2014,"Crime, Drama, Mystery, Thriller",675310,2014-09-26,David Fincher
220,tt1164999,2015-03-01,2015-03-01,,Biutiful,http://www.imdb.com/title/tt1164999/,movie,7.5,148,2010,"Drama, Romance",75419,2010-05-17,Alejandro G. Iñárritu
221,tt3416742,2015-03-01,2015-03-01,,What We Do in the Shadows,http://www.imdb.com/title/tt3416742/,movie,7.6,86,2014,"Comedy, Horror",97930,2014-01-19,"Jemaine Clement, Taika Waititi"
222,tt1100089,2015-03-05,2015-03-05,,Foxcatcher,http://www.imdb.com/title/tt1100089/,movie,7.0,134,2014,"Biography, Drama, Sport",118405,2014-05-19,Bennett Miller
223,tt2088003,2015-03-23,2015-03-23,,Big Game,http://www.imdb.com/title/tt2088003/,movie,5.4,90,2014,"Action, Adventure",25341,2014-09-05,Jalmari Helander
224,tt2326554,2015-03-28,2015-03-28,,A Girl Walks Home Alone at Night,http://www.imdb.com/title/tt2326554/,movie,7.0,101,2014,"Drama, Horror",23352,2014-01-19,Ana Lily Amirpour
225,tt1821549,2015-03-30,2015-03-30,,Nebraska,http://www.imdb.com/title/tt1821549/,movie,7.7,115,2013,"Adventure, Comedy, Drama",99030,2013-05-23,Alexander Payne
226,tt1823672,2015-04-07,2015-04-07,,Chappie,http://www.imdb.com/title/tt1823672/,movie,6.8,120,2015,"Action, Crime, Drama, Sci-Fi, Thriller",198344,2015-03-04,Neill Blomkamp
227,tt3428308,2015-04-08,2015-04-08,,Tolonen,http://www.imdb.com/title/tt3428308/,movie,6.3,75,2014,"Documentary, Biography, Music",60,2014-05-02,Lasse Keso
228,tt2802154,2015-04-18,2015-04-18,,Leviafan,http://www.imdb.com/title/tt2802154/,movie,7.6,140,2014,"Crime, Drama",37886,2014-05-23,Andrey Zvyagintsev
229,tt2315200,2015-04-23,2015-04-23,,"Les garçons et Guillaume, à table!",http://www.imdb.com/title/tt2315200/,movie,6.7,85,2013,Comedy,6345,2013-05-20,Guillaume Gallienne
230,tt2980516,2015-05-01,2015-05-01,,The Theory of Everything,http://www.imdb.com/title/tt2980516/,movie,7.7,123,2014,"Biography, Drama, Romance",317011,2014-09-07,James Marsh
231,tt1772925,2015-05-01,2015-05-01,,Jiro Dreams of Sushi,http://www.imdb.com/title/tt1772925/,movie,7.9,81,2011,Documentary,28218,2011-06-15,David Gelb
232,tt3707488,2015-05-09,2015-05-09,,Kihniö,http://www.imdb.com/title/tt3707488/,movie,7.4,52,2015,Documentary,17,2015-01-29,Saija Mäki-Nevala
233,tt3034418,2015-08-29,2015-08-29,,Love Island,http://www.imdb.com/title/tt3034418/,movie,5.8,86,2014,"Comedy, Romance",280,2014-08-08,Jasmila Zbanic
234,tt2096673,2015-08-29,2015-08-29,,Inside Out,http://www.imdb.com/title/tt2096673/,movie,8.2,95,2015,"Animation, Adventure, Comedy, Drama, Family, Fantasy",453292,2015-05-18,"Pete Docter, Ronnie Del Carmen"
235,tt0274812,2015-08-29,2015-08-29,,Secretary,http://www.imdb.com/title/tt0274812/,movie,7.0,107,2002,"Comedy, Drama, Romance",72792,2002-01-11,Steven Shainberg
236,tt1323594,2015-08-29,2015-08-29,,Despicable Me,http://www.imdb.com/title/tt1323594/,movie,7.7,95,2010,"Animation, Adventure, Comedy, Family",427992,2010-06-20,"Chris Renaud, Pierre Coffin"
237,tt1690953,2015-08-29,2015-08-29,,Despicable Me 2,http://www.imdb.com/title/tt1690953/,movie,7.4,98,2013,"Animation, Adventure, Comedy, Family, Sci-Fi",318304,2013-06-16,"Chris Renaud, Pierre Coffin"
238,tt3824386,2015-09-01,2015-09-01,,Lava,http://www.imdb.com/title/tt3824386/,short,7.2,7,2014,"Animation, Short, Family, Musical, Romance",11178,2014-10-10,James Ford Murphy
239,tt1702429,2015-09-01,2015-09-01,,Eisenstein in Guanajuato,http://www.imdb.com/title/tt1702429/,movie,6.3,105,2015,"Biography, Comedy, Drama, Romance",1986,2015-02-11,Peter Greenaway
240,tt3833746,2015-09-02,2015-09-02,,The Visit,http://www.imdb.com/title/tt3833746/,movie,6.0,83,2015,Documentary,603,2015-01-25,Michael Madsen
241,tt2293640,2015-09-06,2015-09-06,,Minions,http://www.imdb.com/title/tt2293640/,movie,6.4,91,2015,"Animation, Action, Adventure, Comedy, Family",173046,2015-06-11,"Kyle Balda, Pierre Coffin"
242,tt3121332,2015-09-18,2015-09-18,,Nasty Baby,http://www.imdb.com/title/tt3121332/,movie,5.6,101,2015,Drama,1929,2015-01-24,Sebastián Silva
243,tt2570858,2015-09-19,2015-09-19,,The Duke of Burgundy,http://www.imdb.com/title/tt2570858/,movie,6.6,104,2014,"Drama, Mystery, Romance",9196,2014-09-06,Peter Strickland
244,tt0903657,2015-09-19,2015-09-19,,Love & Mercy,http://www.imdb.com/title/tt0903657/,movie,7.4,121,2014,"Biography, Drama, Music",29277,2014-09-07,Bill Pohlad
245,tt3589290,2015-09-19,2015-09-19,,La cérémonie,http://www.imdb.com/title/tt3589290/,movie,5.9,78,2014,Documentary,128,2014-11-08,Lina Mannheimer
246,tt3538328,2015-09-19,2015-09-19,,We Are Twisted Fucking Sister!,http://www.imdb.com/title/tt3538328/,movie,7.1,135,2014,"Documentary, Biography, Comedy, History, Music",1148,2014-05-09,Andrew Horn
247,tt4188192,2015-09-19,2015-09-19,,The Ecstasy of Wilko Johnson,http://www.imdb.com/title/tt4188192/,movie,7.6,92,2015,Documentary,212,2015-03-17,Julien Temple
248,tt4270516,2015-09-20,2015-09-20,,Grandma,http://www.imdb.com/title/tt4270516/,movie,6.7,79,2015,"Comedy, Drama",12331,2015-01-30,Paul Weitz
249,tt4226388,2015-09-20,2015-09-20,,Victoria,http://www.imdb.com/title/tt4226388/,movie,7.7,138,2015,"Crime, Drama, Romance, Thriller",38168,2015-02-07,Sebastian Schipper
250,tt3172532,2015-09-20,2015-09-20,,The Diary of a Teenage Girl,http://www.imdb.com/title/tt3172532/,movie,6.9,102,2015,"Drama, Romance",23862,2015-01-24,Marielle Heller
251,tt4168502,2015-09-21,2015-09-21,,Un Français,http://www.imdb.com/title/tt4168502/,movie,6.2,98,2015,Drama,842,2015-06-10,Diastème
252,tt4685750,2015-09-21,2015-09-21,,Much Loved,http://www.imdb.com/title/tt4685750/,movie,6.2,104,2015,Drama,1353,2015-05-19,Nabil Ayouch
253,tt3416744,2015-09-22,2015-09-22,,The End of the Tour,http://www.imdb.com/title/tt3416744/,movie,7.3,106,2015,"Biography, Drama",22734,2015-01-23,James Ponsoldt
254,tt3749338,2015-09-22,2015-09-22,,Flocken,http://www.imdb.com/title/tt3749338/,movie,6.4,110,2015,"Drama, Thriller",475,2015-02-08,Beata Gårdeler
